Date,Main Site Corrected Gas Meter
2018-01-26 00:00:00,707300
2018-01-27 00:00:00,638400
2018-01-28 00:00:00,625200
2018-01-29 00:00:00,703900
2018-01-30 00:00:00,721100
2018-01-31 00:00:00,663900
2018-02-01 00:00:00,735000
2018-02-02 00:00:00,694900
2018-02-03 00:00:00,677900
2018-02-04 00:00:00,678200
2018-02-05 00:00:00,724300
2018-02-06 00:00:00,730600
2018-02-07 00:00:00,698300
2018-02-08 00:00:00,696800
2018-02-09 00:00:00,705300
2018-02-10 00:00:00,642000
2018-02-11 00:00:00,657900
2018-02-12 00:00:00,722300
2018-02-13 00:00:00,739500
2018-02-14 00:00:00,752500
2018-02-15 00:00:00,700100
2018-02-16 00:00:00,667900
2018-02-17 00:00:00,636200
2018-02-18 00:00:00,637500
2018-02-19 00:00:00,667900
2018-02-20 00:00:00,681900
2018-02-21 00:00:00,722100
2018-02-22 00:00:00,753100
2018-02-23 00:00:00,759700
2018-02-24 00:00:00,694800
2018-02-25 00:00:00,693700
2018-02-26 00:00:00,800200
2018-02-27 00:00:00,815900
2018-02-28 00:00:00,715900
2018-03-01 00:00:00,651800
2018-03-02 00:00:00,708100
2018-03-03 00:00:00,702200
2018-03-04 00:00:00,635500
2018-03-05 00:00:00,755100
2018-03-06 00:00:00,744100
2018-03-07 00:00:00,733000
2018-03-08 00:00:00,734200
2018-03-09 00:00:00,718100
2018-03-10 00:00:00,646600
2018-03-11 00:00:00,634400
2018-03-12 00:00:00,722300
2018-03-13 00:00:00,710300
2018-03-14 00:00:00,275200
2018-03-19 00:00:00,431600
2018-03-20 00:00:00,739100
2018-03-21 00:00:00,723200
2018-03-22 00:00:00,717700
2018-03-23 00:00:00,672200
2018-03-24 00:00:00,645200
2018-03-25 00:00:00,624000
2018-03-26 00:00:00,714800
2018-03-27 00:00:00,714900
2018-03-28 00:00:00,728400
2018-03-29 00:00:00,840100
2018-03-30 00:00:00,401500
2018-03-31 00:00:00,373000
2018-04-01 00:00:00,458600
2018-04-02 00:00:00,653300
2018-04-03 00:00:00,723200
2018-04-04 00:00:00,720400
2018-04-05 00:00:00,703200
2018-04-06 00:00:00,697500
2018-04-07 00:00:00,597500
2018-04-08 00:00:00,482200
2018-04-09 00:00:00,532900
2018-04-10 00:00:00,599200
2018-04-11 00:00:00,722400
2018-04-12 00:00:00,726400
2018-04-13 00:00:00,713500
2018-04-14 00:00:00,626800
2018-04-15 00:00:00,620200
2018-04-16 00:00:00,674200
2018-04-17 00:00:00,635800
2018-04-18 00:00:00,654200
2018-04-19 00:00:00,646400
2018-04-20 00:00:00,633400
2018-04-21 00:00:00,613100
2018-04-22 00:00:00,602700
2018-04-23 00:00:00,691100
2018-04-24 00:00:00,777700
2018-04-25 00:00:00,659300
2018-04-26 00:00:00,512000
2018-04-27 00:00:00,640500
2018-04-28 00:00:00,667800
2018-04-29 00:00:00,629000
2018-04-30 00:00:00,753700
2018-05-01 00:00:00,735000
2018-05-02 00:00:00,686300
2018-05-03 00:00:00,703500
2018-05-04 00:00:00,668500
2018-05-05 00:00:00,615000
2018-05-06 00:00:00,612300
2018-05-07 00:00:00,609200
2018-05-08 00:00:00,647400
2018-05-09 00:00:00,700200
2018-05-10 00:00:00,686900
2018-05-11 00:00:00,646000
2018-05-12 00:00:00,624600
2018-05-13 00:00:00,617600
2018-05-14 00:00:00,619400
2018-05-15 00:00:00,678600
2018-05-16 00:00:00,561900
2018-05-17 00:00:00,681800
2018-05-18 00:00:00,674200
2018-05-19 00:00:00,625900
2018-05-20 00:00:00,620800
2018-05-21 00:00:00,665300
2018-05-22 00:00:00,679700
2018-05-23 00:00:00,657800
2018-05-24 00:00:00,672900
2018-05-25 00:00:00,645300
2018-05-26 00:00:00,607400
2018-05-27 00:00:00,601900
2018-05-28 00:00:00,601100
2018-05-29 00:00:00,647400
2018-05-30 00:00:00,632300
2018-05-31 00:00:00,635500
2018-06-01 00:00:00,625000
2018-06-02 00:00:00,615800
2018-06-03 00:00:00,618500
2018-06-04 00:00:00,676200
2018-06-05 00:00:00,678100
2018-06-06 00:00:00,664900
2018-06-07 00:00:00,660400
2018-06-08 00:00:00,634400
2018-06-09 00:00:00,585900
2018-06-10 00:00:00,609200
2018-06-11 00:00:00,668800
2018-06-12 00:00:00,675300
2018-06-13 00:00:00,677600
2018-06-14 00:00:00,679300
2018-06-15 00:00:00,660000
2018-06-16 00:00:00,626400
2018-06-17 00:00:00,616200
2018-06-18 00:00:00,675200
2018-06-19 00:00:00,680000
2018-06-20 00:00:00,679700
2018-06-21 00:00:00,677700
2018-06-22 00:00:00,644500
2018-06-23 00:00:00,610000
2018-06-24 00:00:00,605400
2018-06-25 00:00:00,624800
2018-06-26 00:00:00,656700
2018-06-27 00:00:00,681600
2018-06-28 00:00:00,447000
2018-06-29 00:00:00,318600
2018-06-30 00:00:00,271500
2018-07-01 00:00:00,278000
2018-07-02 00:00:00,314300
