Date,CHP No1 kWHr Meter,CHP No2 kWHr Meter
2018-02-07 00:00:00,27480,27680
2018-02-08 00:00:00,27450,27680
2018-02-09 00:00:00,27320,27570
2018-02-10 00:00:00,24590,24900
2018-02-11 00:00:00,23480,23890
2018-02-12 00:00:00,26510,26640
2018-02-13 00:00:00,27410,26960
2018-02-14 00:00:00,27310,27510
2018-02-15 00:00:00,27110,26550
2018-02-16 00:00:00,26390,26430
2018-02-17 00:00:00,26150,26490
2018-02-18 00:00:00,26110,26540
2018-02-19 00:00:00,27260,27500
2018-02-20 00:00:00,24970,27580
2018-02-21 00:00:00,27570,27780
2018-02-22 00:00:00,27450,27640
2018-02-23 00:00:00,27390,27590
2018-02-24 00:00:00,27070,27420
2018-02-25 00:00:00,27190,27590
2018-02-26 00:00:00,27850,28080
2018-02-27 00:00:00,27780,27030
2018-02-28 00:00:00,26080,25016.74463
2018-03-01 00:00:00,14640,25016.74463
2018-03-02 00:00:00,26740,11110
2018-03-03 00:00:00,26290,26620
2018-03-04 00:00:00,23400,20940
2018-03-05 00:00:00,27820,26780
2018-03-06 00:00:00,27720,27940
2018-03-07 00:00:00,27790,27970
2018-03-08 00:00:00,27860,28070
2018-03-09 00:00:00,27810,28050
2018-03-10 00:00:00,27020,27630
2018-03-11 00:00:00,27490,27760
2018-03-12 00:00:00,27890,28130
2018-03-13 00:00:00,27870,28090
2018-03-14 00:00:00,10130,10200
2018-03-19 00:00:00,15180,15290
2018-03-20 00:00:00,27090,26370
2018-03-21 00:00:00,27600,21440
2018-03-22 00:00:00,27080,26970
2018-03-23 00:00:00,26540,26700
2018-03-24 00:00:00,27430,27700
2018-03-25 00:00:00,26230,26500
2018-03-26 00:00:00,27760,26990
2018-03-27 00:00:00,27540,27690
2018-03-28 00:00:00,27630,27840
2018-03-29 00:00:00,27570,26980
2018-03-30 00:00:00,22150,22470
2018-03-31 00:00:00,20240,20570
2018-04-01 00:00:00,21100,21450
2018-04-02 00:00:00,23970,24110
2018-04-03 00:00:00,27510,27660
2018-04-04 00:00:00,27470,27650
2018-04-05 00:00:00,20300,27100
2018-04-06 00:00:00,26740,26850
2018-04-07 00:00:00,18930,27710
2018-04-08 00:00:00,25012.82575,27190
2018-04-09 00:00:00,25012.82575,24550
2018-04-10 00:00:00,5600,26430
2018-04-11 00:00:00,27520,27690
2018-04-12 00:00:00,26540,25150
2018-04-13 00:00:00,27510,26370
2018-04-14 00:00:00,27530,23970
2018-04-15 00:00:00,27450,21260
2018-04-16 00:00:00,27350,23960
2018-04-17 00:00:00,27240,18280
2018-04-18 00:00:00,27160,22390
2018-04-19 00:00:00,27260,20610
2018-04-20 00:00:00,27310,22030
2018-04-21 00:00:00,27340,22100
2018-04-22 00:00:00,27200,21960
2018-04-23 00:00:00,27190,21940
2018-04-24 00:00:00,27300,22040
2018-04-25 00:00:00,25730,5690
2018-04-26 00:00:00,13130,25016.74463
2018-04-27 00:00:00,27200,14410
2018-04-28 00:00:00,26610,27020
2018-04-29 00:00:00,26790,20360
2018-04-30 00:00:00,27520,27690
2018-05-01 00:00:00,27400,27460
2018-05-02 00:00:00,27380,27480
2018-05-03 00:00:00,27360,27480
2018-05-04 00:00:00,27300,27360
2018-05-05 00:00:00,26560,26630
2018-05-06 00:00:00,26480,26410
2018-05-07 00:00:00,26900,26710
2018-05-08 00:00:00,27210,27160
2018-05-09 00:00:00,27280,27230
2018-05-10 00:00:00,27390,27460
2018-05-11 00:00:00,22280,27290
2018-05-12 00:00:00,26740,26870
2018-05-13 00:00:00,26430,26520
2018-05-14 00:00:00,26580,22470
2018-05-15 00:00:00,27360,27200
2018-05-16 00:00:00,18810,19080
2018-05-17 00:00:00,27570,27690
2018-05-18 00:00:00,27470,27500
2018-05-19 00:00:00,27300,27080
2018-05-20 00:00:00,27170,26850
2018-05-21 00:00:00,27330,27100
2018-05-22 00:00:00,27320,27470
2018-05-23 00:00:00,27470,26630
2018-05-24 00:00:00,27390,27400
2018-05-25 00:00:00,27330,27330
2018-05-26 00:00:00,27150,27000
2018-05-27 00:00:00,27090,26680
2018-05-28 00:00:00,27190,26890
2018-05-29 00:00:00,27280,27140
2018-05-30 00:00:00,26250,27110
2018-05-31 00:00:00,27380,26810
2018-06-01 00:00:00,27330,26680
2018-06-02 00:00:00,27330,26910
2018-06-03 00:00:00,27330,26910
2018-06-04 00:00:00,27320,27070
2018-06-05 00:00:00,26430,26460
