Date,E Block
2018-04-28 00:00:00,3041
2018-04-29 00:00:00,2997
2018-04-30 00:00:00,3558
2018-05-01 00:00:00,3673
2018-05-02 00:00:00,3719
2018-05-03 00:00:00,3632
2018-05-04 00:00:00,3515
2018-05-05 00:00:00,2952
2018-05-06 00:00:00,3009
2018-05-07 00:00:00,3021
2018-05-08 00:00:00,3625
2018-05-09 00:00:00,3603
2018-05-10 00:00:00,3648
2018-05-11 00:00:00,3588
2018-05-12 00:00:00,3080
2018-05-13 00:00:00,2975
2018-05-14 00:00:00,3661
2018-05-15 00:00:00,3639
2018-05-16 00:00:00,3626
2018-05-17 00:00:00,3590
2018-05-18 00:00:00,3587
2018-05-19 00:00:00,3114
2018-05-20 00:00:00,3087
2018-05-21 00:00:00,3524
2018-05-22 00:00:00,3636
2018-05-23 00:00:00,3479
2018-05-24 00:00:00,3611
2018-05-25 00:00:00,3374
2018-05-26 00:00:00,2931
2018-05-27 00:00:00,2937
2018-05-28 00:00:00,2969
2018-05-29 00:00:00,3621
2018-05-30 00:00:00,3683
2018-05-31 00:00:00,3737
2018-06-01 00:00:00,3717
2018-06-02 00:00:00,3156
2018-06-03 00:00:00,3185
2018-06-04 00:00:00,3656
2018-06-05 00:00:00,3701
2018-06-06 00:00:00,3687
2018-06-07 00:00:00,3741
2018-06-08 00:00:00,3603
2018-06-09 00:00:00,3047
2018-06-10 00:00:00,3164
2018-06-11 00:00:00,3764
2018-06-12 00:00:00,3720
2018-06-13 00:00:00,3582
2018-06-14 00:00:00,3724
2018-06-15 00:00:00,3578
2018-06-16 00:00:00,3005
2018-06-17 00:00:00,2870
2018-06-18 00:00:00,3577
2018-06-19 00:00:00,3700
2018-06-20 00:00:00,3764
2018-06-21 00:00:00,3737
2018-06-22 00:00:00,3489
2018-06-23 00:00:00,3059
2018-06-24 00:00:00,3227
2018-06-25 00:00:00,2650
2018-06-26 00:00:00,3022.479943
2018-06-27 00:00:00,3022.479943
2018-06-28 00:00:00,3022.479943
2018-06-29 00:00:00,3022.479943
2018-06-30 00:00:00,3022.479943
2018-07-01 00:00:00,3022.479943
2018-07-02 00:00:00,3022.479943
2018-07-03 00:00:00,1263
2018-07-04 00:00:00,1201
2018-07-05 00:00:00,2713
2018-07-06 00:00:00,3820
2018-07-07 00:00:00,3128
2018-07-08 00:00:00,3257
2018-07-09 00:00:00,3745
2018-07-10 00:00:00,3721
2018-07-11 00:00:00,3712
2018-07-12 00:00:00,3826
2018-07-13 00:00:00,3814
2018-07-14 00:00:00,3212
2018-07-15 00:00:00,3230
2018-07-16 00:00:00,2977
2018-07-17 00:00:00,3880
2018-07-18 00:00:00,3918
2018-07-19 00:00:00,4062
2018-07-20 00:00:00,3640
2018-07-21 00:00:00,3137
2018-07-22 00:00:00,3284
2018-07-23 00:00:00,3959
2018-07-24 00:00:00,3913
2018-07-25 00:00:00,4000
2018-07-26 00:00:00,4282
2018-07-27 00:00:00,4066
2018-07-28 00:00:00,2772
2018-07-29 00:00:00,2588
2018-07-30 00:00:00,3126
2018-07-31 00:00:00,3260
2018-08-01 00:00:00,3231
2018-08-02 00:00:00,3440
2018-08-03 00:00:00,3275
2018-08-04 00:00:00,3105
2018-08-05 00:00:00,3295
2018-08-06 00:00:00,3876
2018-08-07 00:00:00,4034
2018-08-08 00:00:00,3878
2018-08-09 00:00:00,3945
2018-08-10 00:00:00,3697
2018-08-11 00:00:00,3114
2018-08-12 00:00:00,3233
2018-08-13 00:00:00,3920
2018-08-14 00:00:00,3932
2018-08-15 00:00:00,4018
2018-08-16 00:00:00,3772
2018-08-17 00:00:00,3660
2018-08-18 00:00:00,3109
2018-08-19 00:00:00,3118
2018-08-20 00:00:00,3829
2018-08-21 00:00:00,3892
2018-08-22 00:00:00,3936
2018-08-23 00:00:00,3773
2018-08-24 00:00:00,3534
2018-08-25 00:00:00,2933
2018-08-26 00:00:00,2853
2018-08-27 00:00:00,2879
2018-08-28 00:00:00,3740
2018-08-29 00:00:00,3821
2018-08-30 00:00:00,3853
2018-08-31 00:00:00,3675
2018-09-01 00:00:00,3121
2018-09-02 00:00:00,3253
2018-09-03 00:00:00,3732
2018-09-04 00:00:00,3856
2018-09-05 00:00:00,3849
2018-09-06 00:00:00,3850
2018-09-07 00:00:00,3581
2018-09-08 00:00:00,3120
2018-09-09 00:00:00,3171
2018-09-10 00:00:00,3692
2018-09-11 00:00:00,3846
2018-09-12 00:00:00,3799
2018-09-13 00:00:00,3882
2018-09-14 00:00:00,3620
2018-09-15 00:00:00,3125
2018-09-16 00:00:00,3075
2018-09-17 00:00:00,3787
2018-09-18 00:00:00,3384
2018-09-19 00:00:00,3817
2018-09-20 00:00:00,3739
2018-09-21 00:00:00,3658
2018-09-22 00:00:00,3216
2018-09-23 00:00:00,3171
2018-09-24 00:00:00,3814
2018-09-25 00:00:00,3800
2018-09-26 00:00:00,3864
2018-09-27 00:00:00,3885
2018-09-28 00:00:00,3645
2018-09-29 00:00:00,3010
2018-09-30 00:00:00,3117
2018-10-01 00:00:00,3758
2018-10-02 00:00:00,3817
2018-10-03 00:00:00,3837
2018-10-04 00:00:00,3979
2018-10-05 00:00:00,3701
2018-10-06 00:00:00,954
2018-10-09 00:00:00,1794
2018-10-10 00:00:00,3440
2018-10-11 00:00:00,3971
2018-10-12 00:00:00,3711
2018-10-13 00:00:00,3328
2018-10-14 00:00:00,3171
2018-10-15 00:00:00,3906
2018-10-16 00:00:00,4007
2018-10-17 00:00:00,3883
2018-10-18 00:00:00,4092
2018-10-19 00:00:00,3759
2018-10-20 00:00:00,3204
2018-10-21 00:00:00,3183
2018-10-22 00:00:00,3739
2018-10-23 00:00:00,3153
2018-10-24 00:00:00,3843
2018-10-25 00:00:00,3625
2018-10-26 00:00:00,3756
2018-10-27 00:00:00,3244
2018-10-28 00:00:00,3200
2018-10-29 00:00:00,3849
2018-10-30 00:00:00,3945
2018-10-31 00:00:00,3812
2018-11-01 00:00:00,4006
2018-11-02 00:00:00,3711
2018-11-03 00:00:00,3019
2018-11-04 00:00:00,3175
2018-11-05 00:00:00,3894
2018-11-06 00:00:00,3956
2018-11-07 00:00:00,3912
2018-11-08 00:00:00,3951
2018-11-09 00:00:00,3768
2018-11-10 00:00:00,3227
2018-11-11 00:00:00,3202
2018-11-12 00:00:00,3916
2018-11-13 00:00:00,3809
2018-11-14 00:00:00,3849
2018-11-15 00:00:00,3962
2018-11-16 00:00:00,3743
2018-11-17 00:00:00,3268
2018-11-18 00:00:00,3231
2018-11-19 00:00:00,3862
2018-11-20 00:00:00,3852
2018-11-21 00:00:00,3841
2018-11-22 00:00:00,3982
2018-11-23 00:00:00,3668
2018-11-24 00:00:00,3368
2018-11-25 00:00:00,3300
2018-11-26 00:00:00,3930
2018-11-27 00:00:00,4055
2018-11-28 00:00:00,4006
2018-11-29 00:00:00,4035
2018-11-30 00:00:00,3759
2018-12-01 00:00:00,3207
2018-12-02 00:00:00,3321
2018-12-03 00:00:00,3838
2018-12-04 00:00:00,3867
2018-12-05 00:00:00,3888
2018-12-06 00:00:00,3955
2018-12-07 00:00:00,3831
2018-12-08 00:00:00,3494
2018-12-09 00:00:00,3406
2018-12-10 00:00:00,4112
2018-12-11 00:00:00,3937
2018-12-12 00:00:00,4125
2018-12-13 00:00:00,3939
