Date,Main Site Water Meter
2018-03-24 00:00:00,77.76
2018-03-25 00:00:00,91.52
2018-03-26 00:00:00,136.12
2018-03-27 00:00:00,159.48
2018-03-28 00:00:00,172.2
2018-03-29 00:00:00,162.76
2018-03-30 00:00:00,36.12
2018-03-31 00:00:00,29.56
2018-04-01 00:00:00,52.76
2018-04-02 00:00:00,127.36
2018-04-03 00:00:00,177.84
2018-04-04 00:00:00,178.2
2018-04-05 00:00:00,190.72
2018-04-06 00:00:00,186.2
2018-04-07 00:00:00,123.88
2018-04-08 00:00:00,119.12
2018-04-09 00:00:00,182.64
2018-04-10 00:00:00,184.28
2018-04-11 00:00:00,177.76
2018-04-12 00:00:00,181.92
2018-04-13 00:00:00,179.28
2018-04-14 00:00:00,98.84
2018-04-15 00:00:00,98.04
2018-04-16 00:00:00,199.96
2018-04-17 00:00:00,196.36
2018-04-18 00:00:00,193.28
2018-04-19 00:00:00,222.68
2018-04-20 00:00:00,174.4
2018-04-21 00:00:00,98.72
2018-04-22 00:00:00,111.48
2018-04-23 00:00:00,156.96
2018-04-24 00:00:00,184
2018-04-25 00:00:00,183.36
2018-04-26 00:00:00,198.64
2018-04-27 00:00:00,170.88
2018-04-28 00:00:00,83.88
2018-04-29 00:00:00,87
2018-04-30 00:00:00,189.92
2018-05-01 00:00:00,201.44
2018-05-02 00:00:00,209.2
2018-05-03 00:00:00,189.96
2018-05-04 00:00:00,163.24
2018-05-05 00:00:00,85.76
2018-05-06 00:00:00,84.76
2018-05-07 00:00:00,64.28
2018-05-08 00:00:00,169
2018-05-09 00:00:00,180
2018-05-10 00:00:00,191.36
2018-05-11 00:00:00,168.84
2018-05-12 00:00:00,89.84
2018-05-13 00:00:00,84.28
2018-05-14 00:00:00,157.12
2018-05-15 00:00:00,218
2018-05-16 00:00:00,188
2018-05-17 00:00:00,231.44
2018-05-18 00:00:00,188.08
2018-05-19 00:00:00,96.72
2018-05-20 00:00:00,115.76
2018-05-21 00:00:00,174.84
2018-05-22 00:00:00,195.28
2018-05-23 00:00:00,164.24
2018-05-24 00:00:00,175.8
2018-05-25 00:00:00,130
2018-05-26 00:00:00,85.72
2018-05-27 00:00:00,87.68
2018-05-28 00:00:00,86.56
2018-05-29 00:00:00,139.72
2018-05-30 00:00:00,139.96
2018-05-31 00:00:00,143.24
2018-06-01 00:00:00,129
2018-06-02 00:00:00,95.84
2018-06-03 00:00:00,98.88
2018-06-04 00:00:00,164.48
2018-06-05 00:00:00,195.6
2018-06-06 00:00:00,177.84
2018-06-07 00:00:00,174.68
2018-06-08 00:00:00,158.64
2018-06-09 00:00:00,91.04
2018-06-10 00:00:00,94.44
2018-06-11 00:00:00,190.28
2018-06-12 00:00:00,212.8
2018-06-13 00:00:00,225.4
2018-06-14 00:00:00,222.04
2018-06-15 00:00:00,172.96
2018-06-16 00:00:00,102.44
2018-06-17 00:00:00,112.88
2018-06-18 00:00:00,182.12
2018-06-19 00:00:00,197.64
2018-06-20 00:00:00,191.92
2018-06-21 00:00:00,192.2
2018-06-22 00:00:00,167.16
2018-06-23 00:00:00,101.64
2018-06-24 00:00:00,92.08
2018-06-25 00:00:00,197.68
2018-06-26 00:00:00,220.28
2018-06-27 00:00:00,205.44
2018-06-28 00:00:00,322.96
2018-06-29 00:00:00,181.72
2018-06-30 00:00:00,111.24
2018-07-01 00:00:00,104.28
2018-07-02 00:00:00,205.44
2018-07-03 00:00:00,224.4
2018-07-04 00:00:00,74.04
2018-07-05 00:00:00,131.24
2018-07-06 00:00:00,188.72
2018-07-07 00:00:00,113.64
2018-07-08 00:00:00,115.8
2018-07-09 00:00:00,183.4
2018-07-10 00:00:00,239.16
2018-07-11 00:00:00,190.28
2018-07-12 00:00:00,188.44
2018-07-13 00:00:00,151.56
2018-07-14 00:00:00,91.12
2018-07-15 00:00:00,107.4
2018-07-16 00:00:00,126.84
2018-07-17 00:00:00,185.64
2018-07-18 00:00:00,168.44
2018-07-19 00:00:00,171.4
2018-07-20 00:00:00,177.92
2018-07-21 00:00:00,102.56
2018-07-22 00:00:00,118.72
2018-07-23 00:00:00,147.8
2018-07-24 00:00:00,177.52
2018-07-25 00:00:00,165.88
2018-07-26 00:00:00,214.04
2018-07-27 00:00:00,141.8
2018-07-28 00:00:00,87.56
2018-07-29 00:00:00,80.92
2018-07-30 00:00:00,138.6
2018-07-31 00:00:00,179.84
2018-08-01 00:00:00,198.08
2018-08-02 00:00:00,181.48
2018-08-03 00:00:00,150.4
2018-08-04 00:00:00,66.12
2018-08-05 00:00:00,79.04
2018-08-06 00:00:00,145.2
2018-08-07 00:00:00,163.28
2018-08-08 00:00:00,164.28
2018-08-09 00:00:00,158.88
2018-08-10 00:00:00,142.8
2018-08-11 00:00:00,98.6
2018-08-12 00:00:00,125.2
2018-08-13 00:00:00,165.48
2018-08-14 00:00:00,212.72
