Date,DC8 C Block Basement,DC97 C Block Canteen,C Block T15 DC124,C Block T5 DC22A,C Block T6 DC22B,C Block T16 DC150
2017-09-11 00:00:00,1695,990.384847,9530,7473,5140,7409
2017-09-12 00:00:00,1722,990.384847,9650,7575,5201,7538
2017-09-13 00:00:00,1707,990.384847,9680,7546,5146,7307
2017-09-14 00:00:00,1705,990.384847,9890,7420,5407,7797
2017-09-15 00:00:00,1637,990.384847,9560,7126,5102,7390
2017-09-16 00:00:00,1442,990.384847,9080,5463,4097,6605
2017-09-17 00:00:00,1486,990.384847,9130,5723,3954,6722
2017-09-18 00:00:00,1739,990.384847,9550,7375,5579,7603
2017-09-19 00:00:00,1674,990.384847,9830,7460,5874,7963
2017-09-20 00:00:00,1774,990.384847,9820,7573,5613,7853
2017-09-21 00:00:00,1873,990.384847,9760,7624,5525,7781
2017-09-22 00:00:00,1644,990.384847,9300,6990,4637,7417
2017-09-23 00:00:00,1590,990.384847,8460,5623,3884,6710
2017-09-24 00:00:00,1605,990.384847,8560,5698,3808,6665
2017-09-25 00:00:00,1883,990.384847,8680,7411,5205,7542
2017-09-26 00:00:00,1862,990.384847,8640,7573,5452,7820
2017-09-27 00:00:00,1846,990.384847,8650,7545,5210,7596
2017-09-28 00:00:00,1815,990.384847,8770,7544,5467,7645
2017-09-29 00:00:00,1698,990.384847,8530,6979,5141,7407
2017-09-30 00:00:00,1321,990.384847,7730,5360,3682,7215
2017-10-01 00:00:00,1443,990.384847,7700,5588,3564,7109
2017-10-02 00:00:00,1771,990.384847,8810,7440,5342,7714
2017-10-03 00:00:00,1694,990.384847,8790,7431,6327,8080
2017-10-04 00:00:00,1647,990.384847,9660,7533,5951,7972
2017-10-05 00:00:00,1704,990.384847,9370,7352,5931,8025
2017-10-06 00:00:00,1598,990.384847,8760,6876,5366,7465
2017-10-07 00:00:00,1500,990.384847,8080,5611,3983,6863
2017-10-08 00:00:00,1372,990.384847,8140,5541,3824,6935
2017-10-09 00:00:00,1599,990.384847,8670,7280,5365,7347
2017-10-10 00:00:00,1630,990.384847,8630,7301,5363,7619
2017-10-11 00:00:00,1485,990.384847,8690,6485,4819,7011
2017-10-12 00:00:00,1622,990.384847,9470,7162,5194,7834
2017-10-13 00:00:00,1718,990.384847,9120,7013,5110,7836
2017-10-14 00:00:00,1207,990.384847,8830,5435,3920,6609
2017-10-15 00:00:00,1525,990.384847,8950,5498,3742,6711
2017-10-16 00:00:00,1820,990.384847,9385,7287,5856,7846
2017-10-17 00:00:00,1783,990.384847,9700,7345,6233,7999
2017-10-18 00:00:00,1632,990.384847,9890,7345,5666,7664
2017-10-19 00:00:00,1747,990.384847,10040,7377,5870,7585
2017-10-20 00:00:00,1741,990.384847,9550,7196,5508,7568
2017-10-21 00:00:00,1568,990.384847,8680,5596,4025,6898
2017-10-22 00:00:00,1453,990.384847,8670,5443,3886,6877
2017-10-23 00:00:00,1582,990.384847,9690,7434,5505,7782
2017-10-24 00:00:00,1653,990.384847,9820,7592,5743,7598
2017-10-25 00:00:00,1596,990.384847,10090,7493,5231,7429
2017-10-26 00:00:00,1602,990.384847,9780,7405,5190,7340
2017-10-27 00:00:00,1552,280,9710,6959,4721,7089
2017-10-28 00:00:00,1337,528,9010,5333,3655,6549
2017-10-29 00:00:00,1379,563,8990,5528,3532,6582
2017-10-30 00:00:00,1595,999,9330,6746,5805,7189
2017-10-31 00:00:00,1798,1128,9560,7297,6195,7643
2017-11-01 00:00:00,887,511,9680,7361,5930,7721
2017-11-02 00:00:00,1693.056549,990.384847,9730,7307,5553,7639
2017-11-03 00:00:00,1693.056549,990.384847,9370,6855,5085,7365
2017-11-04 00:00:00,1693.056549,990.384847,8650,5719,3915,6703
2017-11-05 00:00:00,1693.056549,990.384847,8960,5775,3818,6760
2017-11-06 00:00:00,1693.056549,990.384847,9760,7173,5674,7390
2017-11-07 00:00:00,826,604,9620,7229,5531,7319
2017-11-08 00:00:00,1595,1121,9860,7189,5516,7465
2017-11-09 00:00:00,1611,1087,9170,7306,5514,7509
2017-11-10 00:00:00,1645,1117,9700,6907,5210,7263
2017-11-11 00:00:00,1449,531,9320,5581,3968,6529
2017-11-12 00:00:00,1410,522,9220,5590,3939,6638
2017-11-13 00:00:00,1331,796,7620,5558,4382,5774
2017-11-14 00:00:00,1620,1179,9300,7420,5865,7512
2017-11-15 00:00:00,1638,1174,9610,7444,6023,7703
2017-11-16 00:00:00,1649,1168,9600,7295,5586,7562
2017-11-17 00:00:00,1684,1094,9480,6771,5030,7260
2017-11-18 00:00:00,1466,522,8890,5605,3911,6826
2017-11-19 00:00:00,1477,547,9070,5735,4039,6733
2017-11-20 00:00:00,1678,1141,9680,7421,5123,7484
2017-11-21 00:00:00,1651,1179,9840,7518,5565,8104
2017-11-22 00:00:00,1632,1151,10010,7504,5507,7682
2017-11-23 00:00:00,1685,1134,9870,7323,5393,8023
2017-11-24 00:00:00,1664,1092,9570,6958,5130,7217
2017-11-25 00:00:00,1525,545,9230,5701,3966,6916
2017-11-26 00:00:00,1533,550,9170,5773,4185,6877
2017-11-27 00:00:00,1702,1111,9690,7149,5668,7441
2017-11-28 00:00:00,1741,1217,9870,7399,5768,7329
2017-11-29 00:00:00,1743,1180,10000,7450,5868,7291
2017-11-30 00:00:00,1756,1167,10160,7242,5902,7297
2017-12-01 00:00:00,1698,1155,9950,7128,5080,7447
2017-12-02 00:00:00,1557,598,8810,5713,3674,6593
2017-12-03 00:00:00,1540,596,8640,5816,3546,6691
2017-12-04 00:00:00,1722,1166,9780,7280,4987,7257
2017-12-05 00:00:00,1733,1189,9940,7271,5185,7314
2017-12-06 00:00:00,1748,1166,10120,7381,5298,7675
2017-12-07 00:00:00,1766,1167,10090,7288,5335,7361
2017-12-08 00:00:00,1745,1113,9830,6726,4930,7174
2017-12-09 00:00:00,1586,531,9410,5330,4201,6744
2017-12-10 00:00:00,1588,543,9420,5408,4160,6714
2017-12-11 00:00:00,1775,1135,10300,7108,5784,7784
2017-12-12 00:00:00,1707,1078,9760,7037,5259,7256
2017-12-13 00:00:00,1793,1529,10120,7679,5750,7552
2017-12-14 00:00:00,1836,1194,10410,7354,6285,7888
2017-12-15 00:00:00,1779,1152,9670,7155,5504,7212
2017-12-16 00:00:00,1579,527,9020,5370,4371,6332
2017-12-17 00:00:00,1571,545,8880,5403,4145,6342
2017-12-18 00:00:00,1740,1142,9980,7349,5444,7377
2017-12-19 00:00:00,1758,1128,9950,7579,5192,7673
2017-12-20 00:00:00,1725,1190,9640,7723,4953,7369
2017-12-21 00:00:00,1725,1116,9270,7446,4844,6976
2017-12-22 00:00:00,1641,989,8820,6660,4153,6063
2017-12-23 00:00:00,1423,241,8060,4807,2801,5181
2017-12-24 00:00:00,1424,231,7980,4781,2806,5070
2017-12-25 00:00:00,1429,229,7970,4735,2991,5066
2017-12-26 00:00:00,1454,229,8080,4694,3182,5087
2017-12-27 00:00:00,1484,658,8140,5217,3700,5052
2017-12-28 00:00:00,1586,831,8580,5720,4032,5260
2017-12-29 00:00:00,1554,886,8520,5712,3798,5294
2017-12-30 00:00:00,1480,466,7910,4991,3282,4810
2017-12-31 00:00:00,1490,472,7790,4917,3010,4778
2018-01-01 00:00:00,1464,509,7920,4966,3411,4830
2018-01-02 00:00:00,1722,1150,9580,6866,4974,5078
2018-01-03 00:00:00,1770,1137,9730,7222,5592,4649
2018-01-04 00:00:00,1749,1163,9820,7214,5326,4646
2018-01-05 00:00:00,1751,1106,9570,6955,4617,4619
2018-01-06 00:00:00,1513,476,9050,5038,3326,4244
2018-01-07 00:00:00,1558,510,9180,5064,3391,4269
