Date,Site Incomer
2018-09-24 00:00:00,42440
2018-09-25 00:00:00,44310
2018-09-26 00:00:00,49020
2018-09-27 00:00:00,23835
2018-09-28 00:00:00,12865
2018-09-29 00:00:00,2990
2018-09-30 00:00:00,3265
2018-10-01 00:00:00,15785
2018-10-02 00:00:00,32635
2018-10-03 00:00:00,45815
2018-10-04 00:00:00,48155
2018-10-05 00:00:00,34665
2018-10-06 00:00:00,640
2018-10-09 00:00:00,12340
2018-10-10 00:00:00,22240
2018-10-11 00:00:00,24080
2018-10-12 00:00:00,20785
2018-10-13 00:00:00,13130
2018-10-14 00:00:00,4480
2018-10-15 00:00:00,15135
2018-10-16 00:00:00,19955
2018-10-17 00:00:00,19670
2018-10-18 00:00:00,18085
2018-10-19 00:00:00,15220
2018-10-20 00:00:00,9005
2018-10-21 00:00:00,3475
2018-10-22 00:00:00,14840
2018-10-23 00:00:00,8580
2018-10-24 00:00:00,15125
2018-10-25 00:00:00,15875
2018-10-26 00:00:00,11010
2018-10-27 00:00:00,2235
2018-10-28 00:00:00,2585
2018-10-29 00:00:00,15310
2018-10-30 00:00:00,16055
2018-10-31 00:00:00,16905
2018-11-01 00:00:00,17585
2018-11-02 00:00:00,13340
2018-11-03 00:00:00,3690
2018-11-04 00:00:00,6055
2018-11-05 00:00:00,19845
2018-11-06 00:00:00,18585
2018-11-07 00:00:00,19245
2018-11-08 00:00:00,17305
2018-11-09 00:00:00,12265
2018-11-10 00:00:00,3420
2018-11-11 00:00:00,3520
2018-11-12 00:00:00,17520
2018-11-13 00:00:00,24995
2018-11-14 00:00:00,18815
2018-11-15 00:00:00,19075
2018-11-16 00:00:00,14475
2018-11-17 00:00:00,3650
2018-11-18 00:00:00,3210
2018-11-19 00:00:00,16735
2018-11-20 00:00:00,18035
2018-11-21 00:00:00,20045
2018-11-22 00:00:00,19405
2018-11-23 00:00:00,14220
2018-11-24 00:00:00,3995
2018-11-25 00:00:00,4835
2018-11-26 00:00:00,17090
2018-11-27 00:00:00,18135
2018-11-28 00:00:00,21320
2018-11-29 00:00:00,18110
2018-11-30 00:00:00,16400
2018-12-01 00:00:00,3295
2018-12-02 00:00:00,3565
2018-12-03 00:00:00,14745
2018-12-04 00:00:00,23145
2018-12-05 00:00:00,18420
2018-12-06 00:00:00,17660
2018-12-07 00:00:00,16180
2018-12-08 00:00:00,2620
2018-12-09 00:00:00,3255
2018-12-10 00:00:00,17215
2018-12-11 00:00:00,17715
2018-12-12 00:00:00,19385
2018-12-13 00:00:00,38225
2018-12-14 00:00:00,14760
2018-12-15 00:00:00,10550
2018-12-16 00:00:00,6155
2018-12-17 00:00:00,19390
2018-12-18 00:00:00,17545
2018-12-19 00:00:00,16745
2018-12-20 00:00:00,14220
2018-12-21 00:00:00,3670
2018-12-22 00:00:00,2040
2018-12-23 00:00:00,2315
2018-12-24 00:00:00,2150
2018-12-25 00:00:00,1965
2018-12-26 00:00:00,2225
2018-12-27 00:00:00,2360
2018-12-28 00:00:00,5420
2018-12-29 00:00:00,8015
2018-12-30 00:00:00,19750
2018-12-31 00:00:00,20040
2019-01-01 00:00:00,22135
2019-01-02 00:00:00,36640
2019-01-03 00:00:00,49555
2019-01-04 00:00:00,44750
2019-01-05 00:00:00,28550
2019-01-06 00:00:00,28390
2019-01-07 00:00:00,41455
2019-01-08 00:00:00,42670
2019-01-09 00:00:00,45390
2019-01-10 00:00:00,45970
2019-01-11 00:00:00,41385
2019-01-12 00:00:00,27420
2019-01-13 00:00:00,24240
2019-01-14 00:00:00,43585
2019-01-15 00:00:00,41975
2019-01-16 00:00:00,44390
2019-01-17 00:00:00,44815
2019-01-18 00:00:00,42940
2019-01-19 00:00:00,30520
2019-01-20 00:00:00,30405
2019-01-21 00:00:00,45820
2019-01-22 00:00:00,49340
2019-01-23 00:00:00,49400
2019-01-24 00:00:00,44010
2019-01-25 00:00:00,41265
2019-01-26 00:00:00,28905
2019-01-27 00:00:00,26165
2019-01-28 00:00:00,47390
2019-01-29 00:00:00,45980
2019-01-30 00:00:00,30940
2019-01-31 00:00:00,27060
2019-02-01 00:00:00,40610
2019-02-02 00:00:00,30945
2019-02-03 00:00:00,31460
2019-02-04 00:00:00,42970
2019-02-05 00:00:00,45535
2019-02-06 00:00:00,44580
2019-02-07 00:00:00,42255
2019-02-08 00:00:00,42450
2019-02-09 00:00:00,25335
2019-02-10 00:00:00,28930
2019-02-11 00:00:00,42900
2019-02-12 00:00:00,44725
2019-02-13 00:00:00,43100
2019-02-14 00:00:00,43895
2019-02-15 00:00:00,40585
2019-02-16 00:00:00,27685
2019-02-17 00:00:00,29885
2019-02-18 00:00:00,42245
2019-02-19 00:00:00,49085
2019-02-20 00:00:00,45995
2019-02-21 00:00:00,44980
2019-02-22 00:00:00,40250
2019-02-23 00:00:00,29235
2019-02-24 00:00:00,29915
2019-02-25 00:00:00,43165
2019-02-26 00:00:00,45405
2019-02-27 00:00:00,45795
2019-02-28 00:00:00,44560
2019-03-01 00:00:00,38545
2019-03-02 00:00:00,28460
2019-03-03 00:00:00,27615
2019-03-04 00:00:00,58155
2019-03-05 00:00:00,64700
2019-03-06 00:00:00,46110
2019-03-07 00:00:00,49130
2019-03-08 00:00:00,30305
2019-03-09 00:00:00,5915
2019-03-10 00:00:00,10355
2019-03-11 00:00:00,18720
