Date,CHP No1 Gas Meter,CHP No2 Gas Meter
2018-04-18 00:00:00,6045.716901,5485
2018-04-19 00:00:00,6045.716901,5092
2018-04-20 00:00:00,6045.716901,5422
2018-04-21 00:00:00,6045.716901,5468
2018-04-22 00:00:00,6045.716901,5435
2018-04-23 00:00:00,6045.716901,5420
2018-04-24 00:00:00,10,5441
2018-04-25 00:00:00,1,1410
2018-04-26 00:00:00,19,6081.302839
2018-04-27 00:00:00,6045.716901,3522
2018-04-28 00:00:00,6045.716901,6569
2018-04-29 00:00:00,6045.716901,4967
2018-04-30 00:00:00,6045.716901,6736
2018-05-01 00:00:00,6045.716901,6748
2018-05-02 00:00:00,6045.716901,6720
2018-05-03 00:00:00,6045.716901,6673
2018-05-04 00:00:00,6045.716901,6587
2018-05-05 00:00:00,6045.716901,6465
2018-05-06 00:00:00,6045.716901,6426
2018-05-07 00:00:00,6045.716901,6459
2018-05-08 00:00:00,6045.716901,6569
2018-05-09 00:00:00,6045.716901,6576
2018-05-10 00:00:00,6045.716901,6577
2018-05-11 00:00:00,2123,6576
2018-05-12 00:00:00,6391,6476
2018-05-13 00:00:00,6307,6366
2018-05-14 00:00:00,6292,5400
2018-05-15 00:00:00,6509,6546
2018-05-16 00:00:00,4488,4610
2018-05-17 00:00:00,6494,6600
2018-05-18 00:00:00,6499,6586
2018-05-19 00:00:00,6472,6509
2018-05-20 00:00:00,6430,6450
2018-05-21 00:00:00,6419,6441
2018-05-22 00:00:00,6430,6540
2018-05-23 00:00:00,6431,6322
2018-05-24 00:00:00,6427,6523
2018-05-25 00:00:00,6481,6563
2018-05-26 00:00:00,6482,6534
2018-05-27 00:00:00,6425,6427
2018-05-28 00:00:00,6434,6443
2018-05-29 00:00:00,6452,6498
2018-05-30 00:00:00,6201,6473
2018-05-31 00:00:00,6428,6376
2018-06-01 00:00:00,6432,6354
2018-06-02 00:00:00,6472,6441
2018-06-03 00:00:00,6484,6462
2018-06-04 00:00:00,6478,6494
2018-06-05 00:00:00,6296,6361
2018-06-06 00:00:00,6470,6490
2018-06-07 00:00:00,6456,6460
2018-06-08 00:00:00,6029,6330
2018-06-09 00:00:00,6297,5957
2018-06-10 00:00:00,6464,6498
2018-06-11 00:00:00,6513,6514
2018-06-12 00:00:00,6526,6571
2018-06-13 00:00:00,6518,6533
2018-06-14 00:00:00,6527,6480
2018-06-15 00:00:00,6511,6540
2018-06-16 00:00:00,6454,6384
2018-06-17 00:00:00,6437,6501
2018-06-18 00:00:00,6245,6537
2018-06-19 00:00:00,3029.4,6561
2018-06-20 00:00:00,6488,6537
2018-06-21 00:00:00,6470,6607
2018-06-22 00:00:00,6334,6359
2018-06-23 00:00:00,6419,6571
2018-06-24 00:00:00,6407,6523
2018-06-25 00:00:00,5313,6439
2018-06-26 00:00:00,6529,6616
2018-06-27 00:00:00,6430,6247
2018-06-28 00:00:00,1902,2549
2018-06-29 00:00:00,6045.716901,6081.302839
2018-06-30 00:00:00,6045.716901,6081.302839
2018-07-01 00:00:00,6045.716901,6081.302839
2018-07-02 00:00:00,6045.716901,6081.302839
2018-07-03 00:00:00,6045.716901,6081.302839
2018-07-04 00:00:00,6045.716901,6081.302839
2018-07-05 00:00:00,6045.716901,6081.302839
2018-07-06 00:00:00,2240,3289
2018-07-07 00:00:00,6534,6562
2018-07-08 00:00:00,5805,5735
2018-07-09 00:00:00,6402,6499
2018-07-10 00:00:00,6677,6807
2018-07-11 00:00:00,4620,4709
2018-07-12 00:00:00,2865,2907
2018-07-13 00:00:00,6630,6784
2018-07-14 00:00:00,6619,6751
2018-07-15 00:00:00,6426,6533
2018-07-16 00:00:00,4989,5107
2018-07-17 00:00:00,6665,6794
2018-07-18 00:00:00,6635,6770
2018-07-19 00:00:00,6498,6607
2018-07-20 00:00:00,6592,6740
2018-07-21 00:00:00,6625,6792
2018-07-22 00:00:00,6658,6753
2018-07-23 00:00:00,6664,6756
2018-07-24 00:00:00,6504,6576
2018-07-25 00:00:00,6635,6733
2018-07-26 00:00:00,6626,6713
2018-07-27 00:00:00,6408,6549
2018-07-28 00:00:00,6145,6357
2018-07-29 00:00:00,6335,6466
2018-07-30 00:00:00,6439,6599
2018-07-31 00:00:00,6567,6772
2018-08-01 00:00:00,6631,6806
2018-08-02 00:00:00,6670,6815
2018-08-03 00:00:00,6662,6810
2018-08-04 00:00:00,5593,5563
2018-08-05 00:00:00,6581,6741
2018-08-06 00:00:00,6696,6872
2018-08-07 00:00:00,6781,6908
2018-08-08 00:00:00,6493,6650
2018-08-09 00:00:00,6745,6908
2018-08-10 00:00:00,6693,6854
2018-08-11 00:00:00,6628,6783
2018-08-12 00:00:00,6419,6538
2018-08-13 00:00:00,5949,6075
2018-08-14 00:00:00,6679,6867
2018-08-15 00:00:00,3546,3848
2018-08-16 00:00:00,6427,6570
2018-08-17 00:00:00,6637,6801
2018-08-18 00:00:00,6558,6745
2018-08-19 00:00:00,6613,6772
2018-08-20 00:00:00,6330,6750
2018-08-21 00:00:00,6581,6731
2018-08-22 00:00:00,6601,6743
2018-08-23 00:00:00,6411,6580
2018-08-24 00:00:00,6553,6738
2018-08-25 00:00:00,6186,6409
2018-08-26 00:00:00,6174,6349
2018-08-27 00:00:00,6495,6676
2018-08-28 00:00:00,6507,6684
2018-08-29 00:00:00,6508,6661
2018-08-30 00:00:00,6501,6656
2018-08-31 00:00:00,6448,6613
2018-09-01 00:00:00,6402,6538
2018-09-02 00:00:00,6539,6636
2018-09-03 00:00:00,6518,6676
2018-09-04 00:00:00,6510,6666
2018-09-05 00:00:00,5319,6585
2018-09-06 00:00:00,6470,6678
2018-09-07 00:00:00,6499,6694
2018-09-08 00:00:00,6300,6461
2018-09-09 00:00:00,6520,6694
2018-09-10 00:00:00,6547,6714
2018-09-11 00:00:00,6538,6709
2018-09-12 00:00:00,6561,6721
2018-09-13 00:00:00,5911,6021
2018-09-14 00:00:00,6376,6578
2018-09-15 00:00:00,6365,6573
2018-09-16 00:00:00,6480,6694
2018-09-17 00:00:00,6425,6581
2018-09-18 00:00:00,3907,6171
2018-09-19 00:00:00,6602,6747
2018-09-20 00:00:00,6458,6553
2018-09-21 00:00:00,2731,6621
2018-09-22 00:00:00,6045.716901,6710
2018-09-23 00:00:00,6045.716901,6712
2018-09-24 00:00:00,6045.716901,6704
2018-09-25 00:00:00,6045.716901,6742
2018-09-26 00:00:00,469,6763
2018-09-27 00:00:00,6724,6763
2018-09-28 00:00:00,6677,6717
2018-09-29 00:00:00,6573,6590
2018-09-30 00:00:00,6218,6504
2018-10-01 00:00:00,6673,6690
2018-10-02 00:00:00,6768,3158
2018-10-03 00:00:00,6613,6081.302839
2018-10-04 00:00:00,6643,6081.302839
2018-10-05 00:00:00,6692,1788
2018-10-06 00:00:00,1884,1918
2018-10-09 00:00:00,3309,3357
2018-10-10 00:00:00,5356,6147
2018-10-11 00:00:00,6527,6658
